Outlier Date,Outlier Price,Outlier Type,Position Type,Entry Date,Entry Price,Exit Date,Exit Price,Days Held,Profit,model_RMSE,model_accuracy
13-06-2022,0.9601,Positive,Recovery Trade,24-05-2022,0.9317,26-05-2022,0.93171,2,0,11891.48664,-463728.14
06-07-2022,0.9817,Positive,Recovery Trade,16-06-2022,0.94814,20-06-2022,0.9507,2,-0.27,63169.36545,-2307534.74
21-09-2022,1.01711,Positive,Recovery Trade,01-09-2022,1.0046,02-09-2022,1.0041,1,0.05,0.014959524,98.76
26-09-2022,1.03946,Positive,Recovery Trade,06-09-2022,1.01035,07-09-2022,1.00017,1,1.01,182.7102693,-7768.63
29-09-2022,1.01733,Negative,Recovery Trade,09-09-2022,0.9849,13-09-2022,1.00213,2,1.75,0.011053591,99.17
06-10-2022,1.0213,Positive,Recovery Trade,16-09-2022,0.99844,19-09-2022,0.99698,1,0.15,0.010506088,99.15
26-10-2022,0.9907,Negative,Recovery Trade,06-10-2022,1.0213,07-10-2022,1.02666,1,0.52,0.122606012,89.85
07-11-2022,0.9982,Negative,Recovery Trade,18-10-2022,1.01387,19-10-2022,1.02398,1,1,0.046095181,95.35
11-11-2022,0.964,Negative,Recovery Trade,24-10-2022,1.01167,27-10-2022,1.00326,3,-0.83,0.006558754,99.47
01-12-2022,0.94981,Negative,Recovery Trade,11-11-2022,0.964,14-11-2022,0.96898,1,0.52,0.008986601,99.14
03-01-2023,0.94824,Positive,Recovery Trade,14-12-2022,0.93664,19-12-2022,0.9422,3,-0.59,0.029851453,97.26
09-01-2023,0.93169,Negative,Recovery Trade,20-12-2022,0.941,21-12-2022,0.94266,1,0.18,0.021007226,98.07
01-02-2023,0.9079,Negative,Recovery Trade,12-01-2023,0.92079,13-01-2023,0.9217,1,0.1,0.018118013,98.19
03-02-2023,0.9234,Positive,Recovery Trade,16-01-2023,0.92334,18-01-2023,0.92611,2,-0.3,0.019705801,97.97
06-02-2023,0.93201,Positive,Recovery Trade,17-01-2023,0.9265,18-01-2023,0.92611,1,0.04,0.033736058,96.83
17-03-2023,0.9299,Negative,Recovery Trade,27-02-2023,0.9424,28-02-2023,0.94542,1,0.32,0.011806152,98.87
09-05-2023,0.91198,Positive,Recovery Trade,19-04-2023,0.91307,20-04-2023,0.9115,1,0.17,0.026532711,97.34
13-07-2023,0.89096,Negative,Recovery Trade,23-06-2023,0.9146,28-06-2023,0.91612,3,0.17,0.017660499,98.32
14-11-2023,0.91925,Negative,Recovery Trade,25-10-2023,0.94638,26-10-2023,0.94657,1,0.02,0.006992242,99.31
14-12-2023,0.9096,Negative,Recovery Trade,24-11-2023,0.9132,29-11-2023,0.9112,3,-0.22,0.009839817,99.07
